batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
,0,,,,,,,0,,,,0.8249444365501404,1.3398072719573975,0.08884026110172272
,,,,1.96078431372549e-06,,,,9,,,,,,
18.0,0,0.41795799136161804,1.9607844023994403e-06,,2330400.0,886.0,0.41018518805503845,9,1.2485573291778564,0.6553801894187927,0.17096774280071259,,,
,,,,3.92156862745098e-06,,,,19,,,,,,
19.0,0,0.3634319305419922,3.921568804798881e-06,,2011680.0,833.0,0.40594542026519775,19,1.1504216194152832,0.6314288377761841,0.2006472498178482,,,
,,,,5.882352941176471e-06,,,,29,,,,,,
18.0,0,0.35357892513275146,5.8823529798246454e-06,,2088752.0,856.0,0.35756057500839233,29,0.8300262689590454,0.6307022571563721,0.2274143248796463,,,
,,,,7.84313725490196e-06,,,,39,,,,,,
20.0,0,0.31465718150138855,7.843137609597761e-06,,1727040.0,718.0,0.45443037152290344,39,0.5840082764625549,0.5620154142379761,0.26457399129867554,,,
,,,,9.803921568627451e-06,,,,49,,,,,,
18.0,0,0.35570159554481506,9.803921784623526e-06,,2042080.0,728.0,0.4444444477558136,49,0.3322606384754181,0.6857947707176208,0.18359375,,,
,,,,9.990626960034291e-06,,,,59,,,,,,
18.0,0,0.38322827219963074,9.990627404476982e-06,,2118768.0,827.0,0.42541152238845825,59,0.36204802989959717,0.5543477535247803,0.22847682237625122,,,
,,,,9.958273816194824e-06,,,,69,,,,,,
18.0,0,0.3350234031677246,9.958273949450813e-06,,1830064.0,799.0,0.4148494303226471,69,0.2943379282951355,0.6951459050178528,0.1818181872367859,,,
,,,,9.902982435596885e-06,,,,79,,,,,,
19.0,0,0.42242681980133057,9.90298212855123e-06,,2424784.0,904.0,0.5061590075492859,79,0.45510050654411316,0.5672723054885864,0.26376810669898987,,,
,,,,9.825022192288878e-06,,,,89,,,,,,
18.0,0,0.3637887239456177,9.825022061704658e-06,,2028160.0,762.0,0.48659002780914307,89,0.24953924119472504,0.6796637773513794,0.1863117814064026,,,
,,,,9.72477290073966e-06,,,,99,,,,,,
24.0,0,0.38348624110221863,9.724773008201737e-06,,2271024.0,1013.0,0.4220833480358124,99,0.2944086492061615,0.6160058975219727,0.2379603385925293,,,
,0,,,,,,,99,,,,0.8202047348022461,0.12859977781772614,0.09299781173467636
,,,,9.602722965420639e-06,,,,109,,,,,,
21.0,0,0.3814551532268524,9.602723366697319e-06,,2124400.0,793.0,0.49686717987060547,109,0.2916959822177887,0.645855188369751,0.2177121788263321,,,
,,,,9.459467001348271e-06,,,,119,,,,,,
22.0,0,0.3527231216430664,9.459467037231661e-06,,2117648.0,798.0,0.44781145453453064,119,0.23078081011772156,0.6936375498771667,0.16296295821666718,,,
,,,,9.295702937179478e-06,,,,129,,,,,,
16.0,0,0.3126732110977173,9.295702511735726e-06,,1704064.0,640.0,0.380952388048172,129,0.4140346646308899,0.6067981719970703,0.26938775181770325,,,
,,,,9.112228614973381e-06,,,,139,,,,,,
22.0,0,0.38291478157043457,9.11222832655767e-06,,2156576.0,881.0,0.45506197214126587,139,0.3145587742328644,0.5906369686126709,0.24573378264904022,,,
,,,,8.909937903184998e-06,,,,149,,,,,,
18.0,0,0.42219993472099304,8.909937605494633e-06,,2423968.0,862.0,0.3862007260322571,149,0.3754027187824249,0.5399479269981384,0.2541254162788391,,,
,,,,8.689816341827972e-06,,,,159,,,,,,
17.0,0,0.3414543867111206,8.689816240803339e-06,,1887232.0,699.0,0.3807189464569092,159,0.31566286087036133,0.7188394069671631,0.18045112490653992,,,
,,,,8.452936341022687e-06,,,,169,,,,,,
