batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
,0,,,,,,,0,,,,0.8249444365501404,1.3398072719573975,0.08884026110172272
,,,,1.96078431372549e-06,,,,9,,,,,,
25.0,0,0.472716748714447,1.9607844023994403e-06,,2678224.0,1034.0,0.49238094687461853,9,1.455972671508789,0.6567502021789551,0.21108178794384003,,,
,,,,3.92156862745098e-06,,,,19,,,,,,
21.0,0,0.3873961269855499,3.921568804798881e-06,,2220096.0,835.0,0.49088770151138306,19,1.249413013458252,0.5950959920883179,0.2210884392261505,,,
,,,,5.882352941176471e-06,,,,29,,,,,,
22.0,0,0.3068000376224518,5.8823529798246454e-06,,2096048.0,856.0,0.3930211067199707,29,0.9476735591888428,0.6212854981422424,0.2199999988079071,,,
,,,,7.84313725490196e-06,,,,39,,,,,,
20.0,0,0.3447165787220001,7.843137609597761e-06,,2092016.0,800.0,0.4597701132297516,39,0.47978445887565613,0.6876789927482605,0.1814814805984497,,,
,,,,9.803921568627451e-06,,,,49,,,,,,
17.0,0,0.2523338496685028,9.803921784623526e-06,,1460480.0,577.0,0.3327566385269165,49,0.5633497834205627,0.5365559458732605,0.32367148995399475,,,
,,,,9.990626960034291e-06,,,,59,,,,,,
16.0,0,0.3720185160636902,9.990627404476982e-06,,2136160.0,811.0,0.43322649598121643,59,0.4302671551704407,0.49940964579582214,0.3164556920528412,,,
,,,,9.958273816194824e-06,,,,69,,,,,,
22.0,0,0.4212706685066223,9.958273949450813e-06,,2386832.0,925.0,0.5759651064872742,69,0.4581044614315033,0.5377542972564697,0.28391167521476746,,,
,,,,9.902982435596885e-06,,,,79,,,,,,
26.0,0,0.47222796082496643,9.90298212855123e-06,,2634352.0,1046.0,0.4420963525772095,79,0.3620710074901581,0.625346302986145,0.23361822962760925,,,
,,,,9.825022192288878e-06,,,,89,,,,,,
19.0,0,0.4265431761741638,9.825022061704658e-06,,2374112.0,816.0,0.49364790320396423,89,0.5310210585594177,0.545595109462738,0.3137255012989044,,,
,,,,9.72477290073966e-06,,,,99,,,,,,
20.0,0,0.3398869037628174,9.724773008201737e-06,,1990704.0,773.0,0.40684211254119873,99,0.40083181858062744,0.5729928612709045,0.24381625652313232,,,
,0,,,,,,,99,,,,0.8144951462745667,0.13765262067317963,0.09628009051084518
,,,,9.602722965420639e-06,,,,109,,,,,,
17.0,0,0.37662386894226074,9.602723366697319e-06,,2083664.0,810.0,0.4717530608177185,109,0.2603551149368286,0.6873729228973389,0.1879432648420334,,,
,,,,9.459467001348271e-06,,,,119,,,,,,
27.0,0,0.4189898371696472,9.459467037231661e-06,,2409520.0,902.0,0.46399176120758057,119,0.2647407352924347,0.6215283870697021,0.2426229566335678,,,
,,,,9.295702937179478e-06,,,,129,,,,,,
18.0,0,0.2957726716995239,9.295702511735726e-06,,1918992.0,734.0,0.3342440724372864,129,0.33314090967178345,0.6306471824645996,0.2110726684331894,,,
,,,,9.112228614973381e-06,,,,139,,,,,,
21.0,0,0.33887070417404175,9.11222832655767e-06,,1892704.0,791.0,0.4767932593822479,139,0.3033831715583801,0.6642075777053833,0.19230769574642181,,,
,,,,8.909937903184998e-06,,,,149,,,,,,
19.0,0,0.3922542631626129,8.909937605494633e-06,,2251232.0,825.0,0.4570637047290802,149,0.2776394784450531,0.6563525795936584,0.1859649121761322,,,
,,,,8.689816341827972e-06,,,,159,,,,,,
19.0,0,0.4211407005786896,8.689816240803339e-06,,2601504.0,886.0,0.4399205446243286,159,0.30472224950790405,0.6321229934692383,0.21159420907497406,,,
,,,,8.452936341022687e-06,,,,169,,,,,,
