batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
,0,,,,,,,0,,,,0.8249444365501404,1.3398072719573975,0.08884026110172272
,,,,1.96078431372549e-06,,,,9,,,,,,
18.0,0,0.31974613666534424,1.9607844023994403e-06,,1767792.0,705.0,0.3694968521595001,9,1.4719438552856445,0.7011650800704956,0.17175573110580444,,,
,,,,3.92156862745098e-06,,,,19,,,,,,
26.0,0,0.48774319887161255,3.921568804798881e-06,,2759456.0,1150.0,0.5203620195388794,19,1.1811553239822388,0.6718834042549133,0.1887640506029129,,,
,,,,5.882352941176471e-06,,,,29,,,,,,
17.0,0,0.4064129889011383,5.8823529798246454e-06,,2298880.0,853.0,0.37726670503616333,29,0.7927476763725281,0.642691969871521,0.23291926085948944,,,
,,,,7.84313725490196e-06,,,,39,,,,,,
20.0,0,0.3481009900569916,7.843137609597761e-06,,2466560.0,915.0,0.3812499940395355,39,0.48757943511009216,0.6529370546340942,0.20426829159259796,,,
,,,,9.803921568627451e-06,,,,49,,,,,,
27.0,0,0.32895082235336304,9.803921784623526e-06,,2382704.0,966.0,0.39753085374832153,49,0.30502232909202576,0.612766444683075,0.21935483813285828,,,
,,,,9.95261237415365e-06,,,,59,,,,,,
15.0,0,0.3611831068992615,9.952612344932277e-06,,1952816.0,738.0,0.4032786786556244,59,0.34560513496398926,0.603950023651123,0.2290322631597519,,,
,,,,9.790016820292068e-06,,,,69,,,,,,
20.0,0,0.332118958234787,9.79001652012812e-06,,2015776.0,834.0,0.3897196352481842,69,0.4220098853111267,0.4855257272720337,0.30633804202079773,,,
,,,,9.515630984862924e-06,,,,79,,,,,,
22.0,0,0.42825278639793396,9.515631063550245e-06,,2463776.0,910.0,0.5235903263092041,79,0.3763769268989563,0.589648962020874,0.23384615778923035,,,
,,,,9.136211157768862e-06,,,,89,,,,,,
23.0,0,0.42015644907951355,9.13621079234872e-06,,2384976.0,937.0,0.4476827383041382,89,0.3463882803916931,0.6028808951377869,0.25294119119644165,,,
,,,,8.661099914375148e-06,,,,99,,,,,,
20.0,0,0.29286038875579834,8.66109985508956e-06,,1643392.0,672.0,0.28717949986457825,99,0.2986069619655609,0.5101572871208191,0.25438597798347473,,,
,0,,,,,,,99,,,,0.8178203105926514,0.12929823994636536,0.09365426748991013
,,,,8.10199607029795e-06,,,,109,,,,,,
18.0,0,0.3310738503932953,8.101996172626968e-06,,1882576.0,697.0,0.46097883582115173,109,0.29201313853263855,0.6070385575294495,0.22077922523021698,,,
,,,,7.472666617737724e-06,,,,119,,,,,,
14.0,0,0.3650738000869751,7.472666766261682e-06,,2101248.0,695.0,0.5641233921051025,119,0.26618799567222595,0.7283328771591187,0.1593625545501709,,,
,,,,6.788607736441211e-06,,,,129,,,,,,
21.0,0,0.3249827027320862,6.788607606722508e-06,,1810112.0,771.0,0.4477351903915405,129,0.2630741000175476,0.6480003595352173,0.19691120088100433,,,
,,,,6.066663226327195e-06,,,,139,,,,,,
16.0,0,0.33859768509864807,6.066663445380982e-06,,1925792.0,768.0,0.380952388048172,139,0.3503587543964386,0.572756826877594,0.24067796766757965,,,
,,,,5.324609757231149e-06,,,,149,,,,,,
18.0,1,0.41665640473365784,5.324609901435906e-06,,2275984.0,860.0,0.4465212821960449,149,0.3150768280029297,,,,,
,,,,4.580719148296484e-06,,,,159,,,,,,
20.0,1,0.316216379404068,4.580719178193249e-06,,1745312.0,686.0,0.3897727131843567,159,0.31588587164878845,0.6002569198608398,0.23322683572769165,,,
,,,,3.853308455146557e-06,,,,169,,,,,,
18.0,1,0.34723758697509766,3.853308498946717e-06,,1987888.0,794.0,0.38357487320899963,169,0.2771052420139313,0.7145460247993469,0.16516517102718353,,,
,,,,3.1602889431844027e-06,,,,179,,,,,,
21.0,1,0.32549476623535156,3.160288997605676e-06,,1825760.0,740.0,0.5339105129241943,179,0.3458286225795746,0.5945777893066406,0.2578125,,,
,,,,2.518725052794427e-06,,,,189,,,,,,
15.0,1,0.30076053738594055,2.51872506851214e-06,,1626128.0,606.0,0.33114755153656006,189,0.34317076206207275,0.695216953754425,0.19615384936332703,,,
,,,,1.944414216186507e-06,,,,199,,,,,,
21.0,1,0.3545614182949066,1.944414179888554e-06,,2331664.0,892.0,0.3425499200820923,199,0.30114632844924927,0.6171894073486328,0.23648647964000702,,,
,1,,,,,,,199,,,,0.8148113489151001,0.12607446312904358,0.094748355448246
,,,,1.4514978721863198e-06,,,,209,,,,,,
16.0,1,0.3219414949417114,1.4514978374791099e-06,,1809136.0,697.0,0.3541666567325592,209,0.27484360337257385,0.5690568685531616,0.22977346181869507,,,
,,,,1.052113257078706e-06,,,,219,,,,,,
24.0,1,0.49541744589805603,1.0521132480789674e-06,,2824688.0,1090.0,0.5343137383460999,219,0.29835444688796997,0.587512195110321,0.23720930516719818,,,
,,,,7.560945455691599e-07,,,,229,,,,,,
25.0,1,0.4415261447429657,7.560945505247219e-07,,2490384.0,1011.0,0.4814285635948181,229,0.27255013585090637,0.5206893682479858,0.2967033088207245,,,
,,,,5.707307007648242e-07,,,,239,,,,,,
17.0,1,0.32443463802337646,5.707307195734757e-07,,1860848.0,685.0,0.4379795491695404,239,0.3797728717327118,0.6793498992919922,0.18941503763198853,,,
,,,,5.005859957121123e-07,,,,249,,,,,,
17.0,1,0.2904933989048004,5.005859975426574e-07,,1696672.0,681.0,0.3815126121044159,249,0.45106184482574463,0.6159226298332214,0.23529411852359772,,,
