batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
,0,,,,,,,0,,,,0.8249444365501404,1.3398072719573975,0.08884026110172272
,,,,1.96078431372549e-06,,,,9,,,,,,
20.0,0,0.40245166420936584,1.9607844023994403e-06,,2271888.0,867.0,0.35532787442207336,9,1.5743626356124878,0.5400813817977905,0.2844036817550659,,,
,,,,3.92156862745098e-06,,,,19,,,,,,
19.0,0,0.3890354037284851,3.921568804798881e-06,,2218448.0,802.0,0.4538766145706177,19,1.1188068389892578,0.657889723777771,0.19855596125125885,,,
,,,,5.882352941176471e-06,,,,29,,,,,,
19.0,0,0.40479588508605957,5.8823529798246454e-06,,2609936.0,970.0,0.4956566095352173,29,0.6884596347808838,0.6965045928955078,0.17119565606117249,,,
,,,,7.84313725490196e-06,,,,39,,,,,,
27.0,0,0.3819815218448639,7.843137609597761e-06,,2307584.0,940.0,0.4095860421657562,39,0.55829918384552,0.6002070307731628,0.223270446062088,,,
,,,,9.803921568627451e-06,,,,49,,,,,,
27.0,0,0.4100176990032196,9.803921784623526e-06,,2329760.0,941.0,0.4526214599609375,49,0.312759131193161,0.6044919490814209,0.21875,,,
,,,,9.999096977414362e-06,,,,59,,,,,,
18.0,0,0.4001862704753876,9.999096619139891e-06,,2275568.0,848.0,0.4758698046207428,59,0.22215934097766876,0.7211616039276123,0.15434083342552185,,,
,,,,9.995975858662581e-06,,,,69,,,,,,
25.0,0,0.4555329382419586,9.995976142818108e-06,,2880608.0,1136.0,0.47333332896232605,69,0.29778239130973816,0.6788625717163086,0.19589976966381073,,,
,,,,9.990626960034291e-06,,,,79,,,,,,
20.0,0,0.29073843359947205,9.990627404476982e-06,,2247664.0,935.0,0.3895833194255829,79,0.3525329828262329,0.5642058253288269,0.26586103439331055,,,
,,,,9.983052792323704e-06,,,,89,,,,,,
19.0,0,0.3481721878051758,9.983053132600617e-06,,1947536.0,825.0,0.3446115255355835,89,0.4075705111026764,0.5893545150756836,0.27242523431777954,,,
,,,,9.973256910875163e-06,,,,99,,,,,,
17.0,0,0.3572191894054413,9.97325696516782e-06,,2042768.0,781.0,0.5280594825744629,99,0.31593644618988037,0.5657220482826233,0.23381294310092926,,,
,,,,9.96124391391424e-06,,,,109,,,,,,
24.0,0,0.4487628638744354,9.961244359146804e-06,,2545584.0,960.0,0.4761904776096344,109,0.3153998851776123,0.6473501920700073,0.2209944725036621,,,
,,,,9.947019440389318e-06,,,,119,,,,,,
18.0,0,0.36456647515296936,9.947019862011075e-06,,2032496.0,705.0,0.430402934551239,119,0.33513301610946655,0.6758745312690735,0.19083969295024872,,,
,,,,9.930590167324639e-06,,,,129,,,,,,
19.0,0,0.42410174012184143,9.930589840223547e-06,,2597104.0,955.0,0.5404640436172485,129,0.3250950872898102,0.6233282089233398,0.2288828343153,,,
,,,,9.91196380668609e-06,,,,139,,,,,,
17.0,0,0.2827126085758209,9.911963388731238e-06,,1559488.0,612.0,0.3913043439388275,139,0.2378409206867218,0.7017366886138916,0.1586538404226303,,,
,,,,9.89114910176117e-06,,,,149,,,,,,
15.0,0,0.40965476632118225,9.891148692986462e-06,,2230816.0,811.0,0.54612797498703,149,0.4353765845298767,0.6121750473976135,0.22499999403953552,,,
,,,,9.868155823054864e-06,,,,159,,,,,,
21.0,0,0.41869232058525085,9.868155757430941e-06,,2507632.0,934.0,0.3867494761943817,159,0.3558015823364258,0.6342030763626099,0.2492917776107788,,,
,,,,9.842994763703317e-06,,,,169,,,,,,
20.0,0,0.3311891257762909,9.842994586506393e-06,,1827952.0,779.0,0.4426136314868927,169,0.27158454060554504,0.6358709335327148,0.20370370149612427,,,
