batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
,0,,,,,,,0,,,,0.8249444365501404,1.3398072719573975,0.08884026110172272
,,,,1.96078431372549e-06,,,,9,,,,,,
17.0,0,0.43174871802330017,1.9607844023994403e-06,,2375136.0,844.0,0.4773755669593811,9,1.3360936641693115,0.5621575117111206,0.2593750059604645,,,
,,,,3.92156862745098e-06,,,,19,,,,,,
21.0,0,0.4038999378681183,3.921568804798881e-06,,2301648.0,873.0,0.45682889223098755,19,1.6042790412902832,0.5133768916130066,0.29392972588539124,,,
,,,,5.882352941176471e-06,,,,29,,,,,,
19.0,0,0.361758828163147,5.8823529798246454e-06,,2076432.0,863.0,0.34151166677474976,29,1.4461296796798706,0.5894889235496521,0.23853211104869843,,,
,,,,7.84313725490196e-06,,,,39,,,,,,
18.0,0,0.3305545747280121,7.843137609597761e-06,,1861440.0,709.0,0.41903072595596313,39,1.5000780820846558,0.5635166764259338,0.2738589346408844,,,
,,,,9.803921568627451e-06,,,,49,,,,,,
27.0,0,0.28768348693847656,9.803921784623526e-06,,1630544.0,725.0,0.4401942789554596,49,1.6455081701278687,0.5159657597541809,0.3033175468444824,,,
,,,,9.990626960034291e-06,,,,59,,,,,,
16.0,0,0.3219030797481537,9.990627404476982e-06,,1761536.0,720.0,0.32374101877212524,59,0.9766330122947693,0.6589733958244324,0.19305019080638885,,,
,,,,9.958273816194824e-06,,,,69,,,,,,
22.0,0,0.35130029916763306,9.958273949450813e-06,,1997072.0,838.0,0.4645232856273651,69,0.920566737651825,0.6526952385902405,0.1932203322649002,,,
,,,,9.902982435596885e-06,,,,79,,,,,,
17.0,0,0.3642299473285675,9.90298212855123e-06,,2064432.0,834.0,0.43034055829048157,79,0.8141190409660339,0.5472074747085571,0.2943262457847595,,,
,,,,9.825022192288878e-06,,,,89,,,,,,
16.0,0,0.3213145434856415,9.825022061704658e-06,,1771312.0,683.0,0.4144417345523834,89,0.6834197044372559,0.5377554297447205,0.22649572789669037,,,
,,,,9.72477290073966e-06,,,,99,,,,,,
20.0,0,0.42155712842941284,9.724773008201737e-06,,2368544.0,948.0,0.43888887763023376,99,0.5347048044204712,0.6129279136657715,0.20821113884449005,,,
,0,,,,,,,99,,,,0.8100459575653076,0.34755995869636536,0.0991247296333313
,,,,9.602722965420639e-06,,,,109,,,,,,
21.0,0,0.34731021523475647,9.602723366697319e-06,,1934240.0,767.0,0.429691880941391,109,0.5429514646530151,0.6428667902946472,0.208480566740036,,,
,,,,9.459467001348271e-06,,,,119,,,,,,
29.0,0,0.451691597700119,9.459467037231661e-06,,2553792.0,1098.0,0.4674329459667206,119,0.4683987498283386,0.6149542331695557,0.2136986255645752,,,
,,,,9.295702937179478e-06,,,,129,,,,,,
16.0,0,0.4369373023509979,9.295702511735726e-06,,2472352.0,902.0,0.5369047522544861,129,0.5666050314903259,0.5047552585601807,0.2996941804885864,,,
,,,,9.112228614973381e-06,,,,139,,,,,,
22.0,0,0.27970075607299805,9.11222832655767e-06,,1887376.0,745.0,0.31355220079421997,139,0.545096218585968,0.5004830360412598,0.29230770468711853,,,
,,,,8.909937903184998e-06,,,,149,,,,,,
20.0,0,0.4122551679611206,8.909937605494633e-06,,2370896.0,912.0,0.4653061330318451,149,0.3118770718574524,0.6759926676750183,0.1834862381219864,,,
,,,,8.689816341827972e-06,,,,159,,,,,,
28.0,0,0.5031842589378357,8.689816240803339e-06,,2892448.0,1107.0,0.5271428823471069,159,0.4126999080181122,0.5476834774017334,0.2512437701225281,,,
,,,,8.452936341022687e-06,,,,169,,,,,,
